Customer ID,Age,Region,Review,Payment Status,Date
CUST11465,18,East,I cannot keep up with the payments anymore.,On Time,19-09-2023 01:30:59
CUST47362,51,Central,I appreciate the bank's patience.,On Time,22-05-2020 01:44:50
CUST87640,30,West,Things are improving; I'll make a payment shortly.,On Time,07-02-2024 11:38:22
CUST89331,29,East,I cannot keep up with the payments anymore.,On Time,11-09-2020 09:52:54
CUST62602,44,South,Please update me on my payment schedule.,Defaulted,26-01-2024 22:00:14
CUST65298,41,West,Please update me on my payment schedule.,On Time,05-12-2024 12:17:21
CUST21093,66,South,Things are improving; I'll make a payment shortly.,On Time,02-06-2021 22:28:02
CUST25233,48,North,I appreciate the bank's patience.,Defaulted,16-10-2024 21:40:57
CUST31641,60,West,I cannot keep up with the payments anymore.,On Time,02-12-2021 23:39:49
CUST53461,61,West,I'm trying to catch up with my payments soon.,Defaulted,05-06-2023 07:57:13
CUST39000,64,West,I'm frustrated with the late fees.,On Time,06-11-2020 20:55:49
CUST88997,51,West,I need more time to manage my finances.,Defaulted,30-04-2020 02:47:05
CUST87647,36,North,I need more time to manage my finances.,On Time,20-04-2021 01:23:54
CUST28334,56,East,I have some pending payments.,On Time,25-12-2022 20:14:33
CUST21970,25,North,I'm trying to catch up with my payments soon.,On Time,23-11-2022 01:34:48
CUST54895,62,East,Please update me on my payment schedule.,Defaulted,23-04-2020 01:38:42
CUST43681,37,North,Please update me on my payment schedule.,Defaulted,03-10-2024 04:44:31
CUST16458,48,West,Things are improving; I'll make a payment shortly.,On Time,05-06-2023 18:23:59
CUST99049,35,North,Things are improving; I'll make a payment shortly.,Defaulted,17-07-2024 02:24:44
CUST80645,33,North,I'm frustrated with the late fees.,On Time,29-11-2020 18:21:09
CUST51666,23,West,I appreciate the bank's patience.,On Time,21-07-2024 20:27:12
CUST24246,31,East,Please update me on my payment schedule.,On Time,11-09-2024 02:09:09
CUST46637,21,East,Things are improving; I'll make a payment shortly.,On Time,28-11-2021 19:12:38
CUST63004,30,North,I appreciate the bank's patience.,Defaulted,15-01-2021 07:41:11
CUST41172,25,East,I appreciate the bank's patience.,On Time,20-08-2024 16:05:38
CUST77198,41,East,The interest rates are too high!,Defaulted,24-07-2020 10:28:47
CUST51447,44,South,I cannot keep up with the payments anymore.,On Time,05-10-2023 06:26:01
CUST93217,20,South,I'm frustrated with the late fees.,On Time,02-05-2024 10:08:31
CUST99607,45,North,The interest rates are too high!,On Time,20-04-2023 17:22:29
CUST79030,25,West,I appreciate the bank's patience.,Defaulted,12-07-2021 14:41:11
CUST45903,38,North,I have some pending payments.,On Time,04-05-2024 14:50:20
CUST33986,21,North,I need more time to manage my finances.,Defaulted,07-11-2023 17:42:14
CUST44066,27,East,I appreciate the bank's patience.,On Time,27-06-2024 13:02:06
CUST13527,41,West,I have some pending payments.,On Time,20-12-2024 02:42:00
CUST69783,36,South,I'm trying to catch up with my payments soon.,On Time,22-07-2020 05:19:26
CUST62203,68,North,I'm trying to catch up with my payments soon.,Defaulted,27-08-2022 21:46:26
CUST73780,41,West,I need more time to manage my finances.,Defaulted,16-09-2022 04:18:17
CUST62110,32,Central,I have some pending payments.,Defaulted,30-06-2024 05:59:04
CUST38266,48,East,I appreciate the bank's patience.,Defaulted,05-12-2023 15:58:49
CUST90050,74,West,I need more time to manage my finances.,On Time,15-09-2023 18:41:10
CUST42684,58,Central,Please update me on my payment schedule.,On Time,03-08-2022 11:00:18
CUST84564,29,South,Things are improving; I'll make a payment shortly.,Defaulted,09-04-2022 12:34:07
CUST72397,63,South,I appreciate the bank's patience.,On Time,16-09-2023 16:15:39
CUST89359,59,North,I need more time to manage my finances.,Defaulted,22-11-2020 03:42:16
CUST43672,68,South,Please update me on my payment schedule.,Defaulted,07-07-2020 02:28:12
CUST68185,33,West,I have some pending payments.,On Time,03-07-2023 16:27:25
CUST76838,45,South,Things are improving; I'll make a payment shortly.,On Time,23-10-2020 02:29:31
CUST71799,63,East,I need more time to manage my finances.,On Time,19-06-2022 20:42:28
CUST70611,37,North,I appreciate the bank's patience.,On Time,25-05-2024 16:15:02
CUST75582,43,West,Please update me on my payment schedule.,On Time,18-11-2024 23:26:43
CUST61527,22,Central,I'm trying to catch up with my payments soon.,On Time,24-01-2024 07:12:18
CUST79021,46,South,I appreciate the bank's patience.,Defaulted,04-02-2020 23:21:53
CUST87107,69,North,I cannot keep up with the payments anymore.,On Time,11-07-2020 18:10:58
CUST24651,50,West,The interest rates are too high!,On Time,16-03-2020 20:54:22
CUST37397,68,North,I appreciate the bank's patience.,Defaulted,14-12-2023 16:21:32
CUST51802,52,North,I need more time to manage my finances.,Defaulted,23-03-2021 07:45:38
CUST89060,62,East,Please update me on my payment schedule.,On Time,14-09-2020 01:45:19
CUST35473,72,South,I cannot keep up with the payments anymore.,Defaulted,24-09-2022 21:53:59
CUST43878,44,East,I appreciate the bank's patience.,Defaulted,08-02-2022 12:32:51
CUST92540,55,North,I have some pending payments.,On Time,05-10-2023 16:03:18
CUST35645,36,North,I need more time to manage my finances.,On Time,26-10-2023 15:41:13
CUST60767,27,South,I have some pending payments.,On Time,02-10-2024 16:59:13
CUST68831,18,East,I cannot keep up with the payments anymore.,On Time,07-07-2023 22:55:21
CUST97870,19,North,I need more time to manage my finances.,On Time,30-03-2022 06:23:53
CUST22771,54,North,Things are improving; I'll make a payment shortly.,Defaulted,16-05-2021 01:02:21
CUST18586,23,East,Please update me on my payment schedule.,On Time,07-02-2024 03:39:56
CUST62383,30,North,I appreciate the bank's patience.,Defaulted,01-02-2021 15:14:42
CUST22199,27,South,I need more time to manage my finances.,On Time,15-01-2021 09:13:37
CUST66977,29,East,I have some pending payments.,On Time,08-06-2024 10:16:44
CUST95034,20,East,I'm trying to catch up with my payments soon.,On Time,20-07-2022 06:10:17
CUST92072,41,West,I have some pending payments.,Defaulted,12-06-2020 00:24:24
CUST64627,74,North,I cannot keep up with the payments anymore.,On Time,17-04-2022 19:24:49
CUST76770,37,West,I have some pending payments.,Defaulted,05-08-2022 06:52:32
CUST61789,54,South,Things are improving; I'll make a payment shortly.,Defaulted,02-10-2022 23:15:52
CUST34899,50,Central,I appreciate the bank's patience.,On Time,14-02-2023 00:03:46
CUST45920,73,East,I cannot keep up with the payments anymore.,Defaulted,16-01-2024 03:47:02
CUST26687,63,Central,I'm trying to catch up with my payments soon.,On Time,30-04-2024 14:54:00
CUST34921,49,North,I appreciate the bank's patience.,On Time,29-01-2023 17:50:12
CUST50615,41,West,I'm frustrated with the late fees.,On Time,09-05-2022 11:44:48
CUST49453,39,North,I need more time to manage my finances.,On Time,15-04-2021 23:10:49
CUST13304,54,West,I'm trying to catch up with my payments soon.,On Time,07-09-2022 13:15:12
CUST80057,73,South,I cannot keep up with the payments anymore.,On Time,13-09-2021 13:33:33
CUST67149,19,Central,Please update me on my payment schedule.,On Time,22-01-2022 10:13:06
CUST29358,35,Central,I have some pending payments.,Defaulted,23-06-2021 23:06:26
CUST30453,32,East,I need more time to manage my finances.,Defaulted,08-05-2021 00:19:18
CUST20814,68,Central,Please update me on my payment schedule.,On Time,12-02-2021 16:22:30
CUST86254,75,South,I have some pending payments.,On Time,02-11-2020 06:03:03
CUST45056,66,North,Things are improving; I'll make a payment shortly.,Defaulted,20-02-2023 02:46:05
CUST99571,47,East,I appreciate the bank's patience.,Defaulted,15-07-2024 16:31:55
CUST43540,30,North,I'm frustrated with the late fees.,Defaulted,05-05-2020 00:13:04
CUST39686,29,West,Please update me on my payment schedule.,Defaulted,29-06-2021 03:46:04
CUST90090,72,West,I'm trying to catch up with my payments soon.,Defaulted,28-12-2020 18:21:18
CUST61857,64,North,I have some pending payments.,Defaulted,11-08-2021 03:01:06
CUST16373,22,Central,I need more time to manage my finances.,Defaulted,24-08-2022 13:42:02
CUST18872,69,Central,Things are improving; I'll make a payment shortly.,On Time,08-08-2024 14:12:11
CUST63095,19,North,I need more time to manage my finances.,On Time,16-03-2023 05:24:32
CUST93428,73,Central,I cannot keep up with the payments anymore.,Defaulted,15-03-2021 07:02:18
CUST70005,68,East,The interest rates are too high!,Defaulted,23-09-2024 07:03:21
CUST30185,57,South,The interest rates are too high!,Defaulted,26-12-2020 16:45:42
CUST46335,39,West,I cannot keep up with the payments anymore.,Defaulted,19-01-2020 09:24:48
CUST85725,75,North,The interest rates are too high!,On Time,23-06-2021 11:57:56
CUST46666,23,Central,I appreciate the bank's patience.,On Time,10-10-2022 07:29:09
CUST13405,47,South,I have some pending payments.,On Time,13-07-2023 18:57:23
CUST19162,35,South,Please update me on my payment schedule.,On Time,17-02-2024 15:46:53
CUST94501,20,North,I have some pending payments.,On Time,21-07-2020 14:51:01
CUST71687,31,West,I cannot keep up with the payments anymore.,Defaulted,08-04-2021 20:50:32
CUST75380,42,South,I appreciate the bank's patience.,Defaulted,28-05-2020 15:18:26
CUST43223,30,North,I need more time to manage my finances.,On Time,02-02-2022 09:33:43
CUST50857,69,East,I cannot keep up with the payments anymore.,Defaulted,02-11-2023 15:49:53
CUST98137,49,East,I have some pending payments.,On Time,30-09-2024 22:25:58
CUST38609,28,North,I'm frustrated with the late fees.,On Time,10-07-2024 07:53:00
CUST45705,39,North,I need more time to manage my finances.,On Time,16-12-2021 19:44:08
CUST12899,33,West,The interest rates are too high!,Defaulted,16-06-2024 02:01:46
CUST49067,61,East,The interest rates are too high!,Defaulted,17-11-2022 02:33:06
CUST15560,66,North,Things are improving; I'll make a payment shortly.,Defaulted,13-03-2024 12:04:25
CUST75450,66,North,I cannot keep up with the payments anymore.,On Time,31-07-2020 15:44:55
CUST71576,42,East,I appreciate the bank's patience.,Defaulted,11-02-2022 08:56:32
CUST24857,68,West,I appreciate the bank's patience.,On Time,19-06-2023 12:15:37
CUST96482,37,South,Please update me on my payment schedule.,Defaulted,23-07-2022 00:52:52
CUST22570,75,East,The interest rates are too high!,Defaulted,20-08-2020 05:47:27
CUST62565,31,West,I cannot keep up with the payments anymore.,On Time,22-02-2020 01:16:26
CUST14924,43,Central,The interest rates are too high!,Defaulted,16-07-2021 09:37:39
CUST20334,69,Central,Please update me on my payment schedule.,Defaulted,11-08-2021 23:14:02
CUST52146,42,North,I need more time to manage my finances.,Defaulted,14-02-2020 02:52:45
CUST31075,65,South,I'm frustrated with the late fees.,Defaulted,30-01-2023 09:15:43
CUST34922,23,East,I cannot keep up with the payments anymore.,Defaulted,25-12-2024 10:39:36
CUST48464,18,East,I appreciate the bank's patience.,Defaulted,31-10-2021 01:44:25
CUST82578,30,East,Please update me on my payment schedule.,Defaulted,26-10-2023 18:08:32
CUST90266,67,North,I appreciate the bank's patience.,Defaulted,29-04-2022 09:37:40
CUST11634,49,North,I cannot keep up with the payments anymore.,On Time,08-11-2023 23:15:26
CUST86415,46,West,I'm trying to catch up with my payments soon.,On Time,07-02-2021 08:54:32
CUST51925,29,Central,I cannot keep up with the payments anymore.,On Time,13-06-2022 13:31:12
CUST23229,24,West,I'm frustrated with the late fees.,On Time,05-09-2021 17:42:47
CUST99828,46,South,I'm trying to catch up with my payments soon.,On Time,01-12-2022 04:07:31
CUST67490,75,Central,I have some pending payments.,Defaulted,23-08-2021 19:45:48
CUST38703,57,North,I'm trying to catch up with my payments soon.,Defaulted,20-10-2020 00:12:26
CUST55991,57,North,Things are improving; I'll make a payment shortly.,On Time,25-10-2021 15:25:35
CUST69587,48,Central,I cannot keep up with the payments anymore.,On Time,19-06-2024 23:26:35
CUST29710,69,Central,The interest rates are too high!,On Time,23-05-2020 12:25:41
CUST62253,20,South,I need more time to manage my finances.,Defaulted,06-01-2020 07:57:17
CUST97866,72,North,I have some pending payments.,On Time,12-03-2022 03:05:52
CUST35845,68,Central,I need more time to manage my finances.,On Time,01-03-2020 09:04:58
CUST27346,55,North,Things are improving; I'll make a payment shortly.,On Time,02-02-2022 01:12:49
CUST51447,41,Central,The interest rates are too high!,On Time,03-01-2021 12:48:03
CUST14864,42,South,I'm frustrated with the late fees.,On Time,21-09-2020 07:59:12
CUST69137,48,North,I'm frustrated with the late fees.,On Time,12-05-2023 21:44:01
CUST47625,19,North,I'm frustrated with the late fees.,Defaulted,16-06-2020 18:08:29
CUST99513,70,Central,Please update me on my payment schedule.,Defaulted,11-02-2021 07:48:40
CUST80207,75,East,I'm trying to catch up with my payments soon.,On Time,20-01-2022 22:33:38
CUST70868,75,West,I cannot keep up with the payments anymore.,Defaulted,08-10-2020 18:04:49
CUST67125,32,East,Please update me on my payment schedule.,On Time,23-12-2022 01:04:23
CUST28955,28,East,Things are improving; I'll make a payment shortly.,Defaulted,08-08-2023 05:13:16
CUST26472,55,South,I'm frustrated with the late fees.,Defaulted,19-02-2020 14:59:10
CUST48317,64,West,The interest rates are too high!,On Time,30-10-2023 12:11:31
CUST35124,38,West,Please update me on my payment schedule.,On Time,28-04-2021 05:44:03
CUST59588,63,North,Things are improving; I'll make a payment shortly.,Defaulted,12-09-2024 22:04:18
CUST49309,45,Central,I need more time to manage my finances.,On Time,21-06-2022 07:25:15
CUST62927,35,North,Things are improving; I'll make a payment shortly.,On Time,02-06-2021 06:53:13
CUST11108,68,North,I appreciate the bank's patience.,Defaulted,17-09-2023 15:32:36
CUST43482,43,North,I cannot keep up with the payments anymore.,Defaulted,04-11-2021 07:35:50
CUST64647,71,West,I cannot keep up with the payments anymore.,Defaulted,08-03-2023 05:38:01
CUST39871,48,Central,I have some pending payments.,Defaulted,06-06-2024 21:36:40
CUST56901,26,Central,I cannot keep up with the payments anymore.,Defaulted,12-04-2022 20:15:56
CUST36544,59,Central,Please update me on my payment schedule.,Defaulted,31-01-2024 04:17:39
CUST72457,23,South,I cannot keep up with the payments anymore.,Defaulted,16-11-2021 05:28:21
CUST94105,31,North,I have some pending payments.,On Time,20-05-2020 14:08:18
CUST36385,63,South,I cannot keep up with the payments anymore.,On Time,03-06-2023 19:06:23
CUST33814,62,South,I need more time to manage my finances.,Defaulted,02-04-2022 17:36:28
CUST43070,75,Central,I'm trying to catch up with my payments soon.,Defaulted,11-04-2020 03:53:39
CUST60755,63,Central,I need more time to manage my finances.,Defaulted,21-08-2021 13:11:18
CUST97070,59,North,I'm frustrated with the late fees.,On Time,08-03-2024 09:25:42
CUST44462,55,Central,The interest rates are too high!,On Time,24-02-2024 11:58:53
CUST25551,66,East,Things are improving; I'll make a payment shortly.,Defaulted,24-02-2021 12:06:24
CUST35545,29,North,Things are improving; I'll make a payment shortly.,On Time,10-09-2024 09:28:14
CUST81110,66,South,I cannot keep up with the payments anymore.,Defaulted,26-02-2021 09:09:24
CUST85687,27,East,I appreciate the bank's patience.,Defaulted,23-07-2024 19:15:00
CUST82179,38,South,I need more time to manage my finances.,On Time,28-01-2024 11:39:07
CUST46723,66,Central,Things are improving; I'll make a payment shortly.,Defaulted,14-05-2024 13:27:55
CUST51513,39,East,I appreciate the bank's patience.,On Time,16-03-2022 22:02:35
CUST20836,24,Central,I'm trying to catch up with my payments soon.,Defaulted,20-11-2022 04:21:33
CUST25943,68,North,I cannot keep up with the payments anymore.,On Time,17-02-2022 16:07:32
CUST46426,63,East,Things are improving; I'll make a payment shortly.,Defaulted,27-07-2023 05:00:14
CUST48926,39,West,I cannot keep up with the payments anymore.,On Time,05-08-2020 15:47:26
CUST10270,34,North,I cannot keep up with the payments anymore.,On Time,03-11-2023 10:07:39
CUST65457,28,North,I appreciate the bank's patience.,On Time,20-04-2020 00:18:58
CUST40188,69,South,I need more time to manage my finances.,Defaulted,29-05-2022 23:02:04
CUST59872,24,South,I'm trying to catch up with my payments soon.,On Time,05-08-2021 08:11:34
CUST17954,74,South,The interest rates are too high!,Defaulted,07-11-2021 13:11:44
CUST94262,40,East,The interest rates are too high!,Defaulted,14-06-2020 23:41:17
CUST60506,32,East,Please update me on my payment schedule.,On Time,26-03-2024 20:33:00
CUST69439,70,South,I'm trying to catch up with my payments soon.,Defaulted,04-09-2023 10:57:06
CUST57046,19,South,I cannot keep up with the payments anymore.,Defaulted,06-12-2021 14:42:42
CUST31945,56,West,The interest rates are too high!,Defaulted,05-10-2022 15:48:52
CUST39574,56,Central,I cannot keep up with the payments anymore.,On Time,05-02-2021 08:46:00
CUST80793,47,South,I appreciate the bank's patience.,On Time,22-02-2023 22:00:51
CUST72156,23,East,I cannot keep up with the payments anymore.,Defaulted,11-05-2024 10:19:32
CUST18782,32,East,I appreciate the bank's patience.,On Time,26-12-2020 18:19:24
CUST73311,25,Central,I'm frustrated with the late fees.,Defaulted,05-12-2024 10:19:35
CUST74948,74,West,I'm trying to catch up with my payments soon.,Defaulted,11-09-2024 05:27:58
CUST37949,30,East,I cannot keep up with the payments anymore.,Defaulted,13-02-2024 16:38:42
CUST98270,43,West,I'm frustrated with the late fees.,On Time,03-06-2021 09:07:34
CUST45145,46,East,I need more time to manage my finances.,On Time,25-09-2020 18:00:55
CUST97721,48,West,I need more time to manage my finances.,Defaulted,16-01-2020 21:50:33
CUST23319,40,North,I need more time to manage my finances.,On Time,18-12-2023 07:14:15
CUST87756,49,Central,I'm frustrated with the late fees.,On Time,21-07-2021 06:45:39
CUST23504,18,West,The interest rates are too high!,Defaulted,03-10-2022 23:59:58
CUST97399,51,Central,I appreciate the bank's patience.,Defaulted,28-04-2024 17:38:31
CUST40522,51,South,I cannot keep up with the payments anymore.,On Time,04-04-2023 04:47:16
CUST34371,22,South,I cannot keep up with the payments anymore.,Defaulted,06-07-2024 21:43:39
CUST29702,38,South,I cannot keep up with the payments anymore.,On Time,28-05-2024 12:14:11
CUST62677,61,West,I'm frustrated with the late fees.,On Time,06-06-2024 13:13:57
CUST64639,51,West,I cannot keep up with the payments anymore.,On Time,13-09-2021 12:46:03
CUST27881,61,East,Please update me on my payment schedule.,Defaulted,10-10-2023 17:19:22
CUST82903,61,South,I appreciate the bank's patience.,On Time,21-06-2020 11:59:17
CUST35949,46,East,The interest rates are too high!,On Time,17-04-2022 03:43:56
CUST94858,22,West,I have some pending payments.,On Time,17-11-2020 02:38:37
CUST66979,24,West,I have some pending payments.,On Time,30-04-2021 05:28:01
CUST69579,42,Central,Things are improving; I'll make a payment shortly.,On Time,22-01-2023 06:15:05
CUST34148,26,North,Please update me on my payment schedule.,Defaulted,06-01-2023 06:37:54
CUST62028,53,Central,I need more time to manage my finances.,Defaulted,25-09-2024 01:25:30
CUST20662,69,East,I have some pending payments.,Defaulted,22-12-2021 12:54:52
CUST51828,37,West,I'm frustrated with the late fees.,Defaulted,19-02-2022 14:06:07
CUST32682,44,Central,Please update me on my payment schedule.,On Time,02-08-2024 11:12:32
CUST86979,31,East,I cannot keep up with the payments anymore.,On Time,01-08-2023 04:57:53
CUST70278,37,South,I'm frustrated with the late fees.,On Time,08-07-2021 16:37:24
CUST31116,29,North,Things are improving; I'll make a payment shortly.,On Time,12-12-2020 14:38:31
CUST87893,46,East,Things are improving; I'll make a payment shortly.,Defaulted,21-04-2021 06:50:22
CUST77754,50,West,I'm trying to catch up with my payments soon.,On Time,25-01-2021 22:33:45
CUST68757,26,North,I'm frustrated with the late fees.,Defaulted,07-11-2022 23:05:33
CUST63070,42,East,I need more time to manage my finances.,On Time,04-07-2021 08:52:43
CUST14194,45,South,The interest rates are too high!,Defaulted,01-05-2023 04:12:23
CUST24997,27,North,I appreciate the bank's patience.,On Time,05-04-2024 04:05:07
CUST87128,26,East,I appreciate the bank's patience.,On Time,04-06-2022 14:50:26
CUST84019,58,West,I need more time to manage my finances.,On Time,08-04-2020 19:07:28
CUST11973,23,South,Please update me on my payment schedule.,Defaulted,20-07-2023 09:14:52
CUST55870,24,South,I have some pending payments.,Defaulted,09-02-2022 06:43:36
CUST80967,68,West,I appreciate the bank's patience.,Defaulted,03-05-2020 19:55:07
CUST30189,52,South,I'm trying to catch up with my payments soon.,Defaulted,25-01-2021 12:16:36
CUST27822,39,Central,I cannot keep up with the payments anymore.,Defaulted,26-12-2024 00:48:30
CUST56968,19,West,The interest rates are too high!,Defaulted,08-12-2020 10:52:23
CUST53520,41,East,I have some pending payments.,Defaulted,20-02-2020 08:55:25
CUST26232,44,East,I'm frustrated with the late fees.,Defaulted,18-04-2023 02:10:06
CUST47121,50,South,I'm trying to catch up with my payments soon.,On Time,12-05-2023 16:13:18
CUST70639,33,North,I have some pending payments.,Defaulted,06-10-2021 08:14:10
CUST49722,41,Central,I appreciate the bank's patience.,On Time,09-04-2020 05:10:43
CUST82472,71,South,Please update me on my payment schedule.,On Time,17-12-2020 13:31:21
CUST12305,19,North,I'm frustrated with the late fees.,Defaulted,11-07-2023 23:55:16
CUST72021,19,West,I have some pending payments.,Defaulted,05-09-2023 14:58:36
CUST63776,24,South,Please update me on my payment schedule.,Defaulted,21-09-2023 21:19:48
CUST38811,40,South,I cannot keep up with the payments anymore.,On Time,20-08-2020 22:14:35
CUST20144,34,Central,Things are improving; I'll make a payment shortly.,Defaulted,15-12-2022 11:36:18
CUST59430,61,East,I need more time to manage my finances.,Defaulted,12-02-2023 07:47:46
